species,site,replicate,exposure_agent,concentration_ug_l,motility_prop,settlement_count,video_file_name,cama_file_name,frame_count,mobile_cell_count,stationary_cell_count,total_cells,motility_ratio_raw,ntu,tile_material,culture,experiment,days_from_start,lux_exposure,comment,count_date_yyyy_mm_dd,start_date_yyyy_mm_dd,year,season,collection_site,preparation,release
L. digitata,DV,well_0_1,NONE,0,0.10183875530410184,330,C1468,20240911_C1468_clip.mp4,504,144,1270,1414,0.101838755,0,ceramic,38,NA,0,0,culture,11/09/2024,11/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_0_2,NONE,0,0.025944726452340666,32,C1469,20240911_C1469_clip.mp4,504,46,1727,1773,0.025944727,0,ceramic,38,NA,0,0,culture,11/09/2024,11/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_0_3,NONE,0,0.46529039761575924,2146,C1470,20240911_C1470_clip.mp4,504,38406,44136,82542,0.465290398,0,ceramic,38,NA,0,0,culture,11/09/2024,11/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_0_4,NONE,0,0.39417592314620237,1234,C1471,20240911_C1471_clip.mp4,504,2626,4036,6662,0.394175923,0,ceramic,38,NA,0,0,culture,11/09/2024,11/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_0_5,NONE,0,0.41871101871101873,1854,C1472,20240911_C1472_clip.mp4,504,6042,8388,14430,0.418711019,0,ceramic,38,NA,0,0,culture,11/09/2024,11/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_0_6,NONE,0,0.3665234704486161,1014,C1473,20240912_C1473_clip.mp4,504,18685,32294,50979,0.36652347,0,ceramic,38,NA,0,0,culture,12/09/2024,11/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_0_7,NONE,0,0.4122929554979046,481,C1474,20240912_C1474_clip.mp4,504,2066,2945,5011,0.412292956,0,ceramic,38,NA,0,0,culture,12/09/2024,11/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_0_8,NONE,0,0.32674490426189007,217,C1475,20240912_C1475_clip.mp4,504,529,1090,1619,0.326744904,0,ceramic,38,NA,0,0,culture,12/09/2024,11/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_0_9,NONE,0,0.3718852844381758,1406,C1476,20240912_C1476_clip.mp4,504,2373,4008,6381,0.371885284,0,ceramic,38,NA,0,0,culture,12/09/2024,11/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_0_10,NONE,0,0.4048213839620285,1056,C1477,20240918_C1477_clip.mp4,504,3241,4765,8006,0.404821384,0,ceramic,38,NA,7,0,culture,18/09/2024,11/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_24024,NONE,0,0.34429065743944637,817,C1480,20240918_C1480_clip.mp4,504,398,758,1156,0.344290657,0,ceramic,38,6.2,6,0,done out of order,18/09/2024,12/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_24011,NONE,0,0.49776366712243053,11058,C1481,20240918_C1481_clip.mp4,504,21479,21672,43151,0.497763667,0,ceramic,38,6.2,6,0,control,18/09/2024,12/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_24012,NONE,0,0.49429037520391517,67,C1482,20240918_C1482_clip.mp4,504,606,620,1226,0.494290375,0,ceramic,38,6.2,6,0,control,18/09/2024,12/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_24013,NONE,0,0.37994978746675284,37,C1483,20240918_C1483_clip.mp4,504,15285,24944,40229,0.379949788,0,ceramic,38,6.2,6,0,control,18/09/2024,12/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_24014,NONE,0,0.5362121122249244,946,C1484,20240918_C1484_clip.mp4,504,9040,7819,16859,0.536212112,0,ceramic,38,6.2,6,0,control,18/09/2024,12/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_24015,NONE,0,0.5615437232242503,5950,C1485,20240918_C1485_clip.mp4,504,15598,12179,27777,0.561543723,0,ceramic,38,6.2,6,0,control,18/09/2024,12/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_24016,NONE,0,0.30119453924914674,1654,C1486,20240918_C1486_clip.mp4,504,353,819,1172,0.301194539,0,ceramic,38,6.2,6,0,control,18/09/2024,12/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_24021,NONE,0,0.462882096,662,C1487,20240918_C1487_clip.mp4,504,318,369,687,0.462882096,0,ceramic,38,6.2,6,0,NA,18/09/2024,12/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_24022,NONE,0,0.5773847125710676,1346,C1488,20240918_C1488_clip.mp4,504,3656,2676,6332,0.577384713,0,ceramic,38,6.2,6,0,NA,18/09/2024,12/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_24023,NONE,0,0.2752688172043011,806,C1489,20240918_C1489_clip.mp4,504,128,337,465,0.275268817,0,ceramic,38,6.2,6,0,NA,18/09/2024,12/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_24025,NONE,0,0.31934426229508195,934,C1490,20240918_C1490_clip.mp4,504,1461,3114,4575,0.319344262,0,ceramic,38,6.2,6,0,NA,18/09/2024,12/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_24026,NONE,0,0.2826362484157161,1464,C1491,20240918_C1491_clip.mp4,504,223,566,789,0.282636248,0,ceramic,38,6.2,6,0,NA,18/09/2024,12/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_24031,NONE,0,0.46510619852622453,2738,C1492,20240918_C1492_clip.mp4,504,1073,1234,2307,0.465106199,0,stone,38,6.2,6,0,NA,18/09/2024,12/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_24032,NONE,0,0.4494130799329234,4353,C1493,20240918_C1493_clip.mp4,504,804,985,1789,0.44941308,0,stone,38,6.2,6,0,NA,18/09/2024,12/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_24033,NONE,0,0.32407407407407407,993,C1494,20240918_C1494_clip.mp4,504,175,365,540,0.324074074,0,stone,38,6.2,6,0,NA,18/09/2024,12/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_24034,NONE,0,0.4482095650084114,445,C1495,20240918_C1495_clip.mp4,504,5595,6888,12483,0.448209565,0,ceramic,38,6.2,6,0,NA,18/09/2024,12/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_24035,NONE,0,0.39448942282580307,740,C1496,20240918_C1496_clip.mp4,504,6042,9274,15316,0.394489423,0,ceramic,38,6.2,6,0,NA,18/09/2024,12/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_24036,NONE,0,0.32983927323549966,517,C1497,20240918_C1497_clip.mp4,504,472,959,1431,0.329839273,0,ceramic,38,6.2,6,0,NA,18/09/2024,12/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_24011,NONE,0,0.40910368080921605,874,C1498,20240920_C1498_clip.mp4,504,2912,4206,7118,0.409103681,0,ceramic,38,6.2,8,0,NA,20/09/2024,12/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_24012,NONE,0,0.40283344851416725,2913,C1499,20240920_C1499_clip.mp4,504,5829,8641,14470,0.402833449,0,ceramic,38,6.2,8,0,NA,20/09/2024,12/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_24013,NONE,0,0.5222696766320928,3104,C1500,20240920_C1500_clip.mp4,504,1712,1566,3278,0.522269677,0,ceramic,38,6.2,8,0,NA,20/09/2024,12/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_24014,NONE,0,0.5381207740732106,10654,C1501,20240920_C1501_clip.mp4,504,6924,5943,12867,0.538120774,0,ceramic,38,6.2,8,0,NA,20/09/2024,12/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_24015,NONE,0,0.4281771767627984,1845,C1502,20240920_C1502_clip.mp4,504,6206,8288,14494,0.428177177,0,ceramic,38,6.2,8,0,NA,20/09/2024,12/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_24016,NONE,0,0.3520635535748886,402,C1506,20240920_C1506_clip.mp4,504,1817,3344,5161,0.352063554,0,ceramic,38,6.2,8,0,NA,20/09/2024,12/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_24022,NONE,0,0.36912442396313366,346,C1508,20240920_C1508_clip.mp4,504,801,1369,2170,0.369124424,0,ceramic,38,6.2,8,0,NA,20/09/2024,12/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
L. digitata,DV,well_24021,NONE,0,0.43138213369180006,662,C1509,20240920_C1509_clip.mp4,504,7060,9306,16366,0.431382134,0,ceramic,38,6.2,8,0,NA,20/09/2024,12/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024
