var1,var2,r,p,n,q
motility_prop,motility_prop,1,0,642,NA
log_mobile,motility_prop,0.6140532402399611,8.54762641543489e-68,642,2.1369066038587227e-67
log_stationary,motility_prop,0.40277568181296486,1.9517263518536028e-26,642,2.4396579398170036e-26
log_total,motility_prop,0.4931147173625729,1.2149722131458858e-40,642,2.0249536885764763e-40
log_settlement,motility_prop,0.3963518091293314,1.400374808537867e-25,642,1.400374808537867e-25
motility_prop,log_mobile,0.6140532402399611,8.54762641543489e-68,642,2.1369066038587227e-67
log_mobile,log_mobile,1,0,642,NA
log_stationary,log_mobile,0.968287820169859,0,642,2.4396579398170036e-26
log_total,log_mobile,0.9874313907731336,0,642,2.0249536885764763e-40
log_settlement,log_mobile,0.33564936721572486,2.2717543841460782e-18,642,1.400374808537867e-25
motility_prop,log_stationary,0.40277568181296486,1.9517263518536028e-26,642,2.1369066038587227e-67
log_mobile,log_stationary,0.968287820169859,0,642,2.1369066038587227e-67
log_stationary,log_stationary,0.9999999999999998,0,642,NA
log_total,log_stationary,0.9947277048847465,0,642,2.0249536885764763e-40
log_settlement,log_stationary,0.2682283362995548,4.84419671777211e-12,642,1.400374808537867e-25
motility_prop,log_total,0.4931147173625729,1.2149722131458858e-40,642,2.1369066038587227e-67
log_mobile,log_total,0.9874313907731336,0,642,2.1369066038587227e-67
log_stationary,log_total,0.9947277048847465,0,642,2.4396579398170036e-26
log_total,log_total,0.9999999999999999,0,642,NA
log_settlement,log_total,0.30108820172089246,6.408586280206252e-15,642,1.400374808537867e-25
motility_prop,log_settlement,0.3963518091293314,1.400374808537867e-25,642,2.1369066038587227e-67
log_mobile,log_settlement,0.33564936721572486,2.2717543841460782e-18,642,2.1369066038587227e-67
log_stationary,log_settlement,0.2682283362995548,4.84419671777211e-12,642,2.4396579398170036e-26
log_total,log_settlement,0.30108820172089246,6.408586280206252e-15,642,2.0249536885764763e-40
log_settlement,log_settlement,0.9999999999999999,0,642,NA
