var1,var2,r,p,n,q
motility_prop,motility_prop,1,0,574,NA
log_mobile,motility_prop,0.6477362399793205,1.395507832044222e-69,574,3.488769580110555e-69
log_stationary,motility_prop,0.45621397038671635,7.514107981464466e-31,574,9.392634976830582e-31
log_total,motility_prop,0.536333341833129,4.586505160619926e-44,574,7.644175267699877e-44
log_settlement,motility_prop,0.3593154931481629,6.2009434895000295e-19,574,6.2009434895000295e-19
motility_prop,log_mobile,0.6477362399793205,1.395507832044222e-69,574,3.488769580110555e-69
log_mobile,log_mobile,1,0,574,NA
log_stationary,log_mobile,0.9719772086547388,0,574,9.392634976830582e-31
log_total,log_mobile,0.9884231809183341,0,574,7.644175267699877e-44
log_settlement,log_mobile,0.31708245542475655,7.144781536052429e-15,574,6.2009434895000295e-19
motility_prop,log_stationary,0.45621397038671635,7.514107981464466e-31,574,3.488769580110555e-69
log_mobile,log_stationary,0.9719772086547388,0,574,3.488769580110555e-69
log_stationary,log_stationary,0.9999999999999999,0,574,NA
log_total,log_stationary,0.9955956724239766,0,574,7.644175267699877e-44
log_settlement,log_stationary,0.2631119857554149,1.5221983465313983e-10,574,6.2009434895000295e-19
motility_prop,log_total,0.536333341833129,4.586505160619926e-44,574,3.488769580110555e-69
log_mobile,log_total,0.9884231809183341,0,574,3.488769580110555e-69
log_stationary,log_total,0.9955956724239766,0,574,9.392634976830582e-31
log_total,log_total,1,0,574,NA
log_settlement,log_total,0.288857125203906,1.7086379371547009e-12,574,6.2009434895000295e-19
motility_prop,log_settlement,0.3593154931481629,6.2009434895000295e-19,574,3.488769580110555e-69
log_mobile,log_settlement,0.31708245542475655,7.144781536052429e-15,574,3.488769580110555e-69
log_stationary,log_settlement,0.2631119857554149,1.5221983465313983e-10,574,9.392634976830582e-31
log_total,log_settlement,0.288857125203906,1.7086379371547009e-12,574,7.644175267699877e-44
log_settlement,log_settlement,1,0,574,NA
