var1,var2,r,p,n,q
motility_prop,motility_prop,1,0,32,NA
log_mobile,motility_prop,0.31727711204103654,0.07682363959913714,32,0.12803939933189523
log_stationary,motility_prop,-0.23176670627899562,0.2018241537782256,32,0.252280192222782
log_total,motility_prop,0.005479646959306023,0.9762549021183335,32,0.9762549021183335
log_settlement,motility_prop,0.5457489940973863,0.0012346222154410449,32,0.006173111077205224
motility_prop,log_mobile,0.31727711204103654,0.07682363959913714,32,0.12803939933189523
log_mobile,log_mobile,1,0,32,NA
log_stationary,log_mobile,0.848093848443653,8.925927305255288e-10,32,0.252280192222782
log_total,log_mobile,0.9468664179960998,2.526376226371416e-16,32,0.9762549021183335
log_settlement,log_mobile,0.568283158052899,6.910790199313992e-4,32,0.006173111077205224
motility_prop,log_stationary,-0.23176670627899562,0.2018241537782256,32,0.12803939933189523
log_mobile,log_stationary,0.848093848443653,8.925927305255288e-10,32,0.12803939933189523
log_stationary,log_stationary,1,0,32,NA
log_total,log_stationary,0.9703508473508492,4.680924985197764e-20,32,0.9762549021183335
log_settlement,log_stationary,0.29384199808256445,0.10260508262776127,32,0.006173111077205224
motility_prop,log_total,0.005479646959306023,0.9762549021183335,32,0.12803939933189523
log_mobile,log_total,0.9468664179960998,2.526376226371416e-16,32,0.12803939933189523
log_stationary,log_total,0.9703508473508492,4.680924985197764e-20,32,0.252280192222782
log_total,log_total,1,0,32,NA
log_settlement,log_total,0.44824704505878193,0.010084422829870203,32,0.006173111077205224
motility_prop,log_settlement,0.5457489940973863,0.0012346222154410449,32,0.12803939933189523
log_mobile,log_settlement,0.568283158052899,6.910790199313992e-4,32,0.12803939933189523
log_stationary,log_settlement,0.29384199808256445,0.10260508262776127,32,0.252280192222782
log_total,log_settlement,0.44824704505878193,0.010084422829870203,32,0.9762549021183335
log_settlement,log_settlement,1,0,32,NA
