var1,var2,r,p,n,q
motility_prop,motility_prop,1,0,36,NA
log_mobile,motility_prop,-0.21580267229159183,0.2062023415015368,36,0.2062023415015368
log_stationary,motility_prop,-0.5441601074391716,6.021210099867743e-4,36,0.0015053025249669356
log_total,motility_prop,-0.42527290047235455,0.009719815610754313,36,0.01619969268459052
log_settlement,motility_prop,0.6408997363662385,2.5430761985523946e-5,36,1.2715380992761973e-4
motility_prop,log_mobile,-0.21580267229159183,0.2062023415015368,36,0.2062023415015368
log_mobile,log_mobile,0.9999999999999998,1.380388970111654e-262,36,NA
log_stationary,log_mobile,0.9364363349767912,4.93694128752712e-17,36,0.0015053025249669356
log_total,log_mobile,0.9748868062034823,9.246487361380904e-24,36,0.01619969268459052
log_settlement,log_mobile,0.1180345739768001,0.4929551128752855,36,1.2715380992761973e-4
motility_prop,log_stationary,-0.5441601074391716,6.021210099867743e-4,36,0.2062023415015368
log_mobile,log_stationary,0.9364363349767912,4.93694128752712e-17,36,0.2062023415015368
log_stationary,log_stationary,0.9999999999999999,1.0531532059569133e-267,36,NA
log_total,log_stationary,0.9906527465701441,5.2651379652630584e-31,36,0.01619969268459052
log_settlement,log_stationary,-0.12519287571020396,0.46690906794692033,36,1.2715380992761973e-4
motility_prop,log_total,-0.42527290047235455,0.009719815610754313,36,0.2062023415015368
log_mobile,log_total,0.9748868062034823,9.246487361380904e-24,36,0.2062023415015368
log_stationary,log_total,0.9906527465701441,5.2651379652630584e-31,36,0.0015053025249669356
log_total,log_total,1,0,36,NA
log_settlement,log_total,-0.028604825674523052,0.8684673538813283,36,1.2715380992761973e-4
motility_prop,log_settlement,0.6408997363662385,2.5430761985523946e-5,36,0.2062023415015368
log_mobile,log_settlement,0.1180345739768001,0.4929551128752855,36,0.2062023415015368
log_stationary,log_settlement,-0.12519287571020396,0.46690906794692033,36,0.0015053025249669356
log_total,log_settlement,-0.028604825674523052,0.8684673538813283,36,0.01619969268459052
log_settlement,log_settlement,1,0,36,NA
