var1,var2,r,p,n,q
motility_prop,motility_prop,1,0,22,NA
log_mobile,motility_prop,0.8951738206012596,1.8642493330864348e-8,22,4.660623332716087e-8
log_stationary,motility_prop,0.8095141719272162,5.0367168823305745e-6,22,5.0367168823305745e-6
log_total,motility_prop,0.8550107320882152,4.01645843335915e-7,22,5.020573041698938e-7
log_settlement,motility_prop,0.8758031311678426,9.348713213129284e-8,22,1.558118868854881e-7
motility_prop,log_mobile,0.8951738206012596,1.8642493330864348e-8,22,4.660623332716087e-8
log_mobile,log_mobile,1,0,22,NA
log_stationary,log_mobile,0.9859418509191472,5.1348617658063783e-17,22,5.0367168823305745e-6
log_total,log_mobile,0.9959150188624509,2.2958062555120554e-22,22,5.020573041698938e-7
log_settlement,log_mobile,0.7127528613115024,1.9727087068737448e-4,22,1.558118868854881e-7
motility_prop,log_stationary,0.8095141719272162,5.0367168823305745e-6,22,4.660623332716087e-8
log_mobile,log_stationary,0.9859418509191472,5.1348617658063783e-17,22,4.660623332716087e-8
log_stationary,log_stationary,1,0,22,NA
log_total,log_stationary,0.9965618200600842,4.106498631997233e-23,22,5.020573041698938e-7
log_settlement,log_stationary,0.61166609216691,0.0024868758789747267,22,1.558118868854881e-7
motility_prop,log_total,0.8550107320882152,4.01645843335915e-7,22,4.660623332716087e-8
log_mobile,log_total,0.9959150188624509,2.2958062555120554e-22,22,4.660623332716087e-8
log_stationary,log_total,0.9965618200600842,4.106498631997233e-23,22,5.0367168823305745e-6
log_total,log_total,0.9999999999999999,5.133350193998516e-158,22,NA
log_settlement,log_total,0.6628610933158915,7.739728726784343e-4,22,1.558118868854881e-7
motility_prop,log_settlement,0.8758031311678426,9.348713213129284e-8,22,4.660623332716087e-8
log_mobile,log_settlement,0.7127528613115024,1.9727087068737448e-4,22,4.660623332716087e-8
log_stationary,log_settlement,0.61166609216691,0.0024868758789747267,22,5.0367168823305745e-6
log_total,log_settlement,0.6628610933158915,7.739728726784343e-4,22,5.020573041698938e-7
log_settlement,log_settlement,1,0,22,NA
