var1,var2,r,p,n,q
motility_prop,motility_prop,0.9999999999999998,0,642,NA
log_mobile,motility_prop,0.5488894617853973,8.604542218947244e-52,642,2.151135554736811e-51
log_stationary,motility_prop,0.34868661594080796,8.626285896415493e-20,642,8.626285896415493e-20
log_total,motility_prop,0.42752906543480407,6.501736818250038e-30,642,1.0836228030416731e-29
log_settlement,motility_prop,0.42461840166685816,1.7262529209224894e-29,642,2.1578161511531118e-29
motility_prop,log_mobile,0.5488894617853973,8.604542218947244e-52,642,2.151135554736811e-51
log_mobile,log_mobile,1,0,642,NA
log_stationary,log_mobile,0.9544893988466857,0,642,8.626285896415493e-20
log_total,log_mobile,0.9820113540764167,0,642,1.0836228030416731e-29
log_settlement,log_mobile,0.38591953877828866,3.138016233951632e-24,642,2.1578161511531118e-29
motility_prop,log_stationary,0.34868661594080796,8.626285896415493e-20,642,2.151135554736811e-51
log_mobile,log_stationary,0.9544893988466857,0,642,2.151135554736811e-51
log_stationary,log_stationary,1,0,642,NA
log_total,log_stationary,0.9917482958122765,0,642,1.0836228030416731e-29
log_settlement,log_stationary,0.300909552135092,6.6595825955847735e-15,642,2.1578161511531118e-29
motility_prop,log_total,0.42752906543480407,6.501736818250038e-30,642,2.151135554736811e-51
log_mobile,log_total,0.9820113540764167,0,642,2.151135554736811e-51
log_stationary,log_total,0.9917482958122765,0,642,8.626285896415493e-20
log_total,log_total,1,0,642,NA
log_settlement,log_total,0.3386243557250617,1.0916957732952069e-18,642,2.1578161511531118e-29
motility_prop,log_settlement,0.42461840166685816,1.7262529209224894e-29,642,2.151135554736811e-51
log_mobile,log_settlement,0.38591953877828866,3.138016233951632e-24,642,2.151135554736811e-51
log_stationary,log_settlement,0.300909552135092,6.6595825955847735e-15,642,8.626285896415493e-20
log_total,log_settlement,0.3386243557250617,1.0916957732952069e-18,642,1.0836228030416731e-29
log_settlement,log_settlement,1,0,642,NA
