var1,var2,r,p,n,q
motility_prop,motility_prop,1,0,574,NA
log_mobile,motility_prop,0.5965240985609084,1.3124590007190945e-56,574,3.2811475017977365e-56
log_stationary,motility_prop,0.41826216919117204,1.0291525829466803e-25,574,1.2864407286833503e-25
log_total,motility_prop,0.4885608154601885,9.079861160462597e-36,574,1.5133101934104328e-35
log_settlement,motility_prop,0.3860155319150742,7.778868590294112e-22,574,7.778868590294112e-22
motility_prop,log_mobile,0.5965240985609084,1.3124590007190945e-56,574,3.2811475017977365e-56
log_mobile,log_mobile,1,0,574,NA
log_stationary,log_mobile,0.9612673160211935,2.47e-322,574,1.2864407286833503e-25
log_total,log_mobile,0.9844756610487555,0,574,1.5133101934104328e-35
log_settlement,log_mobile,0.3720530104562601,2.7663482811449734e-20,574,7.778868590294112e-22
motility_prop,log_stationary,0.41826216919117204,1.0291525829466803e-25,574,3.2811475017977365e-56
log_mobile,log_stationary,0.9612673160211935,2.47e-322,574,3.2811475017977365e-56
log_stationary,log_stationary,1,0,574,NA
log_total,log_stationary,0.9933372609212778,0,574,1.5133101934104328e-35
log_settlement,log_stationary,0.31330248371780534,1.5404360549361763e-14,574,7.778868590294112e-22
motility_prop,log_total,0.4885608154601885,9.079861160462597e-36,574,3.2811475017977365e-56
log_mobile,log_total,0.9844756610487555,0,574,3.2811475017977365e-56
log_stationary,log_total,0.9933372609212778,0,574,1.2864407286833503e-25
log_total,log_total,0.9999999999999999,0,574,NA
log_settlement,log_total,0.34086967852892686,4.397800156017679e-17,574,7.778868590294112e-22
motility_prop,log_settlement,0.3860155319150742,7.778868590294112e-22,574,3.2811475017977365e-56
log_mobile,log_settlement,0.3720530104562601,2.7663482811449734e-20,574,3.2811475017977365e-56
log_stationary,log_settlement,0.31330248371780534,1.5404360549361763e-14,574,1.2864407286833503e-25
log_total,log_settlement,0.34086967852892686,4.397800156017679e-17,574,1.5133101934104328e-35
log_settlement,log_settlement,1,0,574,NA
