var1,var2,r,p,n,q
motility_prop,motility_prop,1,0,32,NA
log_mobile,motility_prop,0.17338709677419353,0.3426119530992835,32,0.3426119530992835
log_stationary,motility_prop,-0.4237536656891496,0.015655112206252007,32,0.03913778051563002
log_total,motility_prop,-0.18914956011730205,0.29982087387369494,32,0.3426119530992835
log_settlement,motility_prop,0.4402492668621701,0.011681726808808452,32,0.03913778051563002
motility_prop,log_mobile,0.17338709677419353,0.3426119530992835,32,0.3426119530992835
log_mobile,log_mobile,1,0,32,NA
log_stationary,log_mobile,0.7760263929618769,1.8030571992986614e-7,32,0.03913778051563002
log_total,log_mobile,0.9032258064516129,1.5125075858779097e-12,32,0.3426119530992835
log_settlement,log_mobile,0.56341642228739,7.860913747878974e-4,32,0.03913778051563002
motility_prop,log_stationary,-0.4237536656891496,0.015655112206252007,32,0.3426119530992835
log_mobile,log_stationary,0.7760263929618769,1.8030571992986614e-7,32,0.3426119530992835
log_stationary,log_stationary,1,0,32,NA
log_total,log_stationary,0.9446480938416422,4.596973719424397e-16,32,0.3426119530992835
log_settlement,log_stationary,0.19904692082111436,0.27476481114515205,32,0.03913778051563002
motility_prop,log_total,-0.18914956011730205,0.29982087387369494,32,0.3426119530992835
log_mobile,log_total,0.9032258064516129,1.5125075858779097e-12,32,0.3426119530992835
log_stationary,log_total,0.9446480938416422,4.596973719424397e-16,32,0.03913778051563002
log_total,log_total,1,0,32,NA
log_settlement,log_total,0.3563049853372434,0.04532665236912093,32,0.03913778051563002
motility_prop,log_settlement,0.4402492668621701,0.011681726808808452,32,0.3426119530992835
log_mobile,log_settlement,0.56341642228739,7.860913747878974e-4,32,0.3426119530992835
log_stationary,log_settlement,0.19904692082111436,0.27476481114515205,32,0.03913778051563002
log_total,log_settlement,0.3563049853372434,0.04532665236912093,32,0.3426119530992835
log_settlement,log_settlement,1,0,32,NA
