var1,var2,r,p,n,q
motility_prop,motility_prop,1,0,36,NA
log_mobile,motility_prop,-0.06023166023166024,0.7271246300663887,36,0.7271246300663887
log_stationary,motility_prop,-0.5091377091377092,0.001517992378365145,36,0.0037949809459128622
log_total,motility_prop,-0.4803088803088804,0.0030290601311331266,36,0.005048433551888544
log_settlement,motility_prop,0.7089259297774105,1.3046999612048538e-6,36,6.523499806024269e-6
motility_prop,log_mobile,-0.06023166023166024,0.7271246300663887,36,0.7271246300663887
log_mobile,log_mobile,1,0,36,NA
log_stationary,log_mobile,0.8396396396396397,1.552758400342153e-10,36,0.0037949809459128622
log_total,log_mobile,0.8527670527670529,4.04386565942098e-11,36,0.005048433551888544
log_settlement,log_mobile,0.2297445142797164,0.1776809021666533,36,6.523499806024269e-6
motility_prop,log_stationary,-0.5091377091377092,0.001517992378365145,36,0.7271246300663887
log_mobile,log_stationary,0.8396396396396397,1.552758400342153e-10,36,0.7271246300663887
log_stationary,log_stationary,1,0,36,NA
log_total,log_stationary,0.9953667953667954,3.5915660695864036e-36,36,0.005048433551888544
log_settlement,log_stationary,-0.18521140394874616,0.2795013495801975,36,6.523499806024269e-6
motility_prop,log_total,-0.4803088803088804,0.0030290601311331266,36,0.7271246300663887
log_mobile,log_total,0.8527670527670529,4.04386565942098e-11,36,0.7271246300663887
log_stationary,log_total,0.9953667953667954,3.5915660695864036e-36,36,0.0037949809459128622
log_total,log_total,1,0,36,NA
log_settlement,log_total,-0.18147886001927177,0.2894758618542806,36,6.523499806024269e-6
motility_prop,log_settlement,0.7089259297774105,1.3046999612048538e-6,36,0.7271246300663887
log_mobile,log_settlement,0.2297445142797164,0.1776809021666533,36,0.7271246300663887
log_stationary,log_settlement,-0.18521140394874616,0.2795013495801975,36,0.0037949809459128622
log_total,log_settlement,-0.18147886001927177,0.2894758618542806,36,0.005048433551888544
log_settlement,log_settlement,0.9999999999999999,1.0531532059569133e-267,36,NA
