var1,var2,r,p,n,q
motility_prop,motility_prop,0.9999999999999998,5.256550598653982e-155,22,NA
log_mobile,motility_prop,0.9356295878035007,1.687369717633551e-10,22,4.2184242940838774e-10
log_stationary,motility_prop,0.6849237718802935,4.366495731999136e-4,22,4.366495731999136e-4
log_total,motility_prop,0.8746470920383963,1.0205202930904912e-7,22,1.7008671551508188e-7
log_settlement,motility_prop,0.8441558441558441,7.885000113376384e-7,22,9.85625014172048e-7
motility_prop,log_mobile,0.9356295878035007,1.687369717633551e-10,22,4.2184242940838774e-10
log_mobile,log_mobile,0.9999999999999998,5.256550598653982e-155,22,NA
log_stationary,log_mobile,0.8306041784302653,1.7103307524006512e-6,22,4.366495731999136e-4
log_total,log_mobile,0.9796725014116318,1.9992469191540903e-15,22,1.7008671551508188e-7
log_settlement,log_mobile,0.771880293619424,2.5814076842913655e-5,22,9.85625014172048e-7
motility_prop,log_stationary,0.6849237718802935,4.366495731999136e-4,22,4.2184242940838774e-10
log_mobile,log_stationary,0.8306041784302653,1.7103307524006512e-6,22,4.2184242940838774e-10
log_stationary,log_stationary,0.9999999999999998,5.256550598653982e-155,22,NA
log_total,log_stationary,0.8915866741953697,2.5701582012356176e-8,22,1.7008671551508188e-7
log_settlement,log_stationary,0.4172783738001129,0.05333987474748145,22,9.85625014172048e-7
motility_prop,log_total,0.8746470920383963,1.0205202930904912e-7,22,4.2184242940838774e-10
log_mobile,log_total,0.9796725014116318,1.9992469191540903e-15,22,4.2184242940838774e-10
log_stationary,log_total,0.8915866741953697,2.5701582012356176e-8,22,4.366495731999136e-4
log_total,log_total,0.9999999999999998,5.256550598653982e-155,22,NA
log_settlement,log_total,0.7029926595143986,2.6329032587361884e-4,22,9.85625014172048e-7
motility_prop,log_settlement,0.8441558441558441,7.885000113376384e-7,22,4.2184242940838774e-10
log_mobile,log_settlement,0.771880293619424,2.5814076842913655e-5,22,4.2184242940838774e-10
log_stationary,log_settlement,0.4172783738001129,0.05333987474748145,22,4.366495731999136e-4
log_total,log_settlement,0.7029926595143986,2.6329032587361884e-4,22,1.7008671551508188e-7
log_settlement,log_settlement,0.9999999999999998,5.256550598653982e-155,22,NA
