species,site,replicate,exposure_agent,concentration_ug_l,motility_prop,settlement_count,video_file_name,cama_file_name,frame_count,mobile_cell_count,stationary_cell_count,total_cells,motility_ratio_raw,ntu,tile_material,culture,experiment,days_from_start,lux_exposure,comment,count_date_yyyy_mm_dd,start_date_yyyy_mm_dd,year,season,collection_site,preparation,release,qc_motility_oob,qc_neg_counts,qc_days_na
S. latissima,DV,well_0_16,NONE,0,0.21021833724082703,658,C1578,20241009_C1578_clip.mp4,504,43577,163717,207294,0.210218337,0,ceramic,39,NA,NA,0,culture,09/10/2024,11/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024,FALSE,FALSE,TRUE
L. digitata,DV,well_0_17,NONE,0,0.42353161592505856,1487,C1579,20241009_C1579_clip.mp4,504,22606,30769,53375,0.423531616,0,ceramic,38,NA,NA,0,culture,09/10/2024,11/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024,FALSE,FALSE,TRUE
L. digitata,DV,well_0_18,NONE,0,0.4118984538732255,784,C1580,20241009_C1580_clip.mp4,504,20833,29745,50578,0.411898454,0,ceramic,38,NA,NA,0,culture,09/10/2024,11/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024,FALSE,FALSE,TRUE
L. digitata,EB,well_0_19,NONE,0,0.6318554163758586,35764,C1581,20241009_C1581_clip.mp4,504,17201,10022,27223,0.631855416,0,ceramic,40,NA,NA,0,culture,09/10/2024,30/09/2024,2024,Summer,Eastbourne,24/09/2024,24/09/2024,FALSE,FALSE,TRUE
L. digitata,EB,well_0_20,NONE,0,0.674940665,8894,C1582,20241009_C1582_clip.mp4,504,20475,9861,30336,0.674940665,0,ceramic,40,NA,NA,0,culture,09/10/2024,30/09/2024,2024,Summer,Eastbourne,24/09/2024,24/09/2024,FALSE,FALSE,TRUE
L. digitata,DV,well_0_21,NONE,0,0.3955330547402647,4057,C1583,20241010_C1583_clip.mp4,504,36251,55400,91651,0.395533055,0,ceramic,38,NA,NA,0,culture,10/10/2024,11/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024,FALSE,FALSE,TRUE
L. digitata,EB,well_0_22,NONE,0,0.5830564784053156,6749,C1584,20241010_C1584_clip.mp4,504,13689,9789,23478,0.583056478,0,ceramic,40,NA,NA,0,culture,10/10/2024,30/09/2024,2024,Summer,Eastbourne,24/09/2024,24/09/2024,FALSE,FALSE,TRUE
L. digitata,BR,well_0_23,NONE,0,0.6059186927062574,2916,C1585,20241014_C1585_clip.mp4,504,6081,3955,10036,0.605918693,0,ceramic,37,NA,NA,0,culture,14/10/2024,11/09/2024,2024,Summer,Bognor,09/09/2024,11/09/2024,FALSE,FALSE,TRUE
L. digitata,DV,well_0_24,NONE,0,0.4344719523660295,1895,C1586,20241014_C1586_clip.mp4,504,20796,27069,47865,0.43447195240000003,0,ceramic,38,NA,NA,0,culture,14/10/2024,11/09/2024,2024,Summer,Dover,09/09/2024,11/09/2024,FALSE,FALSE,TRUE
L. digitata,EB,well_0_25,NONE,0,0.4001027749229188,2011,C1587,20241014_C1587_clip.mp4,504,27251,40859,68110,0.400102775,0,ceramic,40,NA,NA,0,culture,14/10/2024,30/09/2024,2024,Summer,Eastbourne,24/09/2024,24/09/2024,FALSE,FALSE,TRUE
L. digitata,BR,well_0_26,NONE,0,0.3714525139664805,364,C1748,20241223_C1748_clip.mp4,504,6649,11251,17900,0.371452514,0,ceramic,52,6.2,NA,0,NA,23/12/2024,20/12/2024,2024,Winter,Bognor,19/12/2024,20/12/2024,FALSE,FALSE,TRUE
L. digitata,BR,well_0_27,NONE,0,0.3967232606528999,489,C1749,20241223_C1749_clip.mp4,504,22689,34502,57191,0.396723261,0,ceramic,52,6.2,NA,0,NA,23/12/2024,20/12/2024,2024,Winter,Bognor,19/12/2024,20/12/2024,FALSE,FALSE,TRUE
L. digitata,BR,well_0_32,NONE,0,0.4914148734530048,734,C1947i,20250104_C1947_clip.MP4,504,8815,9123,17938,0.491414874,0,ceramic,52,6.2,NA,0,Culture,04/01/2025,23/12/2024,2024,Winter,Bognor,19/12/2024,20/12/2024,FALSE,FALSE,TRUE
L. digitata,HW,well_25651,BaSO4,45,0.5334163057932962,1532,C2243,20250415_C2243_clip.MP4,504,31287,27367,58654,0.533416306,NA,ceramic,53,11.2,NA,0,NA,15/04/2025,11/04/2025,2025,Spring,Harwich,30/03/2025,03/04/2025,FALSE,FALSE,TRUE
L. digitata,HW,well_25652,BaSO4,45,0.5069493444479086,359,C2244,20250415_C2244_clip.MP4,504,30894,30047,60941,0.506949344,NA,ceramic,53,11.2,NA,0,NA,15/04/2025,11/04/2025,2025,Spring,Harwich,30/03/2025,03/04/2025,FALSE,FALSE,TRUE
L. digitata,HW,well_25653,BaSO4,45,0.2411422527763088,372,C2245,20250415_C2245_clip.MP4,504,456,1435,1891,0.241142253,NA,ceramic,53,11.2,NA,0,NA,15/04/2025,11/04/2025,2025,Spring,Harwich,30/03/2025,03/04/2025,FALSE,FALSE,TRUE
L. digitata,HW,well_25654,BaSO4,45,0.4837613063801372,608,C2246,20250415_C2246_clip.MP4,504,23907,25512,49419,0.483761306,NA,ceramic,53,11.2,NA,0,NA,15/04/2025,11/04/2025,2025,Spring,Harwich,30/03/2025,03/04/2025,FALSE,FALSE,TRUE
L. digitata,HW,well_25655,BaSO4,45,0.2975206611570248,2762,C2247,20250415_C2247_clip.MP4,504,216,510,726,0.297520661,NA,ceramic,53,11.2,NA,0,NA,15/04/2025,11/04/2025,2025,Spring,Harwich,30/03/2025,03/04/2025,FALSE,FALSE,TRUE
L. digitata,HW,well_25656,BaSO4,45,0.5192666852714509,15501,C2248,20250415_C2248_clip.MP4,504,24189,22394,46583,0.519266685,NA,ceramic,53,11.2,NA,0,NA,15/04/2025,11/04/2025,2025,Spring,Harwich,30/03/2025,03/04/2025,FALSE,FALSE,TRUE
L. digitata,HW,well_25661,BaSO4,450,0.523756323,12448,C2249,20250415_C2249_clip.MP4,504,33754,30692,64446,0.523756323,NA,ceramic,53,11.2,NA,0,NA,15/04/2025,11/04/2025,2025,Spring,Harwich,30/03/2025,03/04/2025,FALSE,FALSE,TRUE
